FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201705,28,0,33245,691706,"D","05/28/2017 00:00:00",18,"M","Permanent Home",201705
201705,6,0,33382,693652,"I","05/06/2017 00:00:00",41,"F","Outside/Open Areas",201705
201706,19,0,33447,694639,"D","06/19/2017 00:00:00",47,"M","Outside/Open Areas",201705
201705,17,0,33293,695564,"I","05/17/2017 00:00:00",53,"M","Vehicle/Towed Trailer",201705
201705,17,0,33294,695565,"D","05/17/2017 00:00:00",16,"M","Vehicle/Towed Trailer",201705
201705,16,0,33471,697927,"D","05/16/2017 00:00:00",51,"M","In Water",201705
201705,17,0,33397,698304,"D","05/17/2017 00:00:00",70,"M","Vehicle/Towed Trailer",201705
201705,1,0,33483,698410,"D","05/01/2017 00:00:00",60,"M","Vehicle/Towed Trailer",201705
201705,9,0,33366,698416,"D","05/09/2017 00:00:00",89,"M","Vehicle/Towed Trailer",201705
201705,25,0,33335,698578,"D","05/25/2017 00:00:00",24,"M","Outside/Open Areas",201705
201705,17,0,33349,698678,"D","05/17/2017 00:00:00",41,"M","Under Tree",201705
201705,23,0,33411,699162,"D","05/23/2017 00:00:00",,"M","Boating",201705
201705,23,0,33412,699162,"D","05/23/2017 00:00:00",,"M","Boating",201705
201705,23,0,33413,699162,"D","05/23/2017 00:00:00",,"M","Boating",201705
201705,30,0,33448,702258,"I","05/30/2017 00:00:00",59,"M","Vehicle/Towed Trailer",201705
201705,10,0,33474,704324,"I","05/10/2017 00:00:00",54,"M","Permanent Home",201705
201705,22,0,33476,704618,"I","05/22/2017 00:00:00",25,"M","In Water",201705
201705,23,0,33477,704627,"I","05/23/2017 00:00:00",19,"M","In Water",201705
201705,27,0,33478,704633,"I","05/27/2017 00:00:00",18,"M","In Water",201705
201702,17,0,33170,682199,"I","02/17/2017 00:00:00",35,"M","In Water",201702
201702,18,0,33179,682200,"D","02/18/2017 00:00:00",45,"F","Vehicle/Towed Trailer",201702
201704,30,0,33484,690133,"D","04/30/2017 00:00:00",69,"F","Vehicle/Towed Trailer",201704
201702,25,0,33488,705819,"D","02/25/2017 00:00:00",41,"M","Boating",201702
201706,20,0,33585,700054,"D","06/20/2017 00:00:00",89,"F","Permanent Home",201706
201706,20,0,33586,700054,"D","06/20/2017 00:00:00",83,"F","Permanent Home",201706
201706,18,0,33557,700617,"D","06/18/2017 00:00:00",88,"M","Outside/Open Areas",201706
201706,18,0,33423,700620,"D","06/18/2017 00:00:00",88,"M","Outside/Open Areas",201706
201706,21,0,33426,700786,"D","06/21/2017 00:00:00",74,"M","Outside/Open Areas",201706
201701,2,0,33145,669799,"D","01/02/2017 00:00:00",78,"M","In Water",201701
201704,29,0,34616,692689,"D","04/29/2017 00:00:00",65,"F","Mobile/Trailer Home",201704
201705,19,0,33327,698402,"I","05/19/2017 00:00:00",22,"M","Vehicle/Towed Trailer",201705
201705,16,0,33549,702632,"D","05/16/2017 00:00:00",53,"M","Vehicle/Towed Trailer",201705
201709,3,0,33605,712192,"D","09/03/2017 00:00:00",35,"M","In Water",201709
201709,20,0,33701,715397,"D","09/20/2017 00:00:00",42,"F","In Water",201709
201711,5,0,34641,727471,"D","11/05/2017 00:00:00",,"M","Permanent Home",201711
201711,5,0,34642,727471,"D","11/05/2017 00:00:00",,"M","Permanent Home",201711
201709,23,0,34935,730071,"D","09/23/2017 00:00:00",34,"M","In Water",201709
201709,5,0,34994,731651,"D","09/05/2017 00:00:00",63,"M","In Water",201709
201707,15,0,33728,715873,"D","07/15/2017 00:00:00",54,"M","In Water",201707
201707,21,0,33730,716063,"D","07/21/2017 00:00:00",34,"M","Boating",201707
201707,11,0,33732,716134,"I","07/11/2017 00:00:00",6,"M","In Water",201707
201707,9,0,33733,716427,"D","07/09/2017 00:00:00",24,"M","In Water",201707
201707,3,0,33745,717447,"D","07/03/2017 00:00:00",43,"M","Outside/Open Areas",201707
201707,11,0,33749,717500,"D","07/11/2017 00:00:00",23,"M","Outside/Open Areas",201707
201711,13,0,34609,722229,"D","11/13/2017 00:00:00",32,"F","Vehicle/Towed Trailer",201711
201711,18,0,34551,724378,"D","11/18/2017 00:00:00",1,"F","Mobile/Trailer Home",201711
201711,18,0,34552,724378,"D","11/18/2017 00:00:00",32,"M","Mobile/Trailer Home",201711
201711,22,0,34625,726780,"D","11/22/2017 00:00:00",60,"M","Outside/Open Areas",201711
201701,2,0,32932,670350,"D","01/02/2017 00:00:00",53,"F","Mobile/Trailer Home",201701
201701,2,0,32933,670350,"D","01/02/2017 00:00:00",27,"F","Mobile/Trailer Home",201701
201701,2,0,32934,670350,"D","01/02/2017 00:00:00",51,"F","Mobile/Trailer Home",201701
201701,2,0,32935,670350,"D","01/02/2017 00:00:00",53,"F","Mobile/Trailer Home",201701
201701,2,0,32937,670353,"D","01/02/2017 00:00:00",73,"M","Mobile/Trailer Home",201701
201701,2,0,32970,671787,"D","01/02/2017 00:00:00",70,"M","In Water",201701
201701,2,0,32979,672747,"D","01/02/2017 00:00:00",5,"M","In Water",201701
201701,2,0,32980,672747,"D","01/02/2017 00:00:00",26,"M","In Water",201701
201701,22,0,33053,673010,"D","01/22/2017 00:00:00",59,"M","Mobile/Trailer Home",201701
201701,22,0,33054,673010,"D","01/22/2017 00:00:00",59,"F","Mobile/Trailer Home",201701
201701,22,0,33055,673010,"D","01/22/2017 00:00:00",39,"M","Mobile/Trailer Home",201701
201701,22,0,33056,673010,"D","01/22/2017 00:00:00",77,"F","Permanent Home",201701
201701,22,0,33057,673010,"D","01/22/2017 00:00:00",82,"M","Permanent Home",201701
201701,22,0,32990,673054,"D","01/22/2017 00:00:00",,"M","Mobile/Trailer Home",201701
201701,22,0,32991,673054,"D","01/22/2017 00:00:00",,"F","Mobile/Trailer Home",201701
201701,22,0,32992,673083,"D","01/22/2017 00:00:00",18,"F","Mobile/Trailer Home",201701
201701,22,0,32993,673083,"D","01/22/2017 00:00:00",33,"F","Mobile/Trailer Home",201701
201701,22,0,32994,673083,"D","01/22/2017 00:00:00",62,"F","Mobile/Trailer Home",201701
201701,22,0,32995,673083,"D","01/22/2017 00:00:00",38,"F","Mobile/Trailer Home",201701
201701,22,0,32996,673083,"D","01/22/2017 00:00:00",41,"F","Mobile/Trailer Home",201701
201701,22,0,32997,673083,"D","01/22/2017 00:00:00",41,"F","Mobile/Trailer Home",201701
201701,22,0,32998,673083,"D","01/22/2017 00:00:00",36,"M","Mobile/Trailer Home",201701
201701,22,0,32999,673095,"D","01/22/2017 00:00:00",82,"M","Permanent Home",201701
201701,22,0,33000,673095,"D","01/22/2017 00:00:00",78,"F","Permanent Home",201701
201701,15,0,33008,673579,"D","01/15/2017 00:00:00",36,"M","Outside/Open Areas",201701
201704,2,0,33431,680811,"D","04/02/2017 00:00:00",52,"F","Vehicle/Towed Trailer",201704
201704,30,0,33183,683065,"D","04/30/2017 00:00:00",43,"F","Under Tree",201704
201704,29,0,35245,683249,"D","04/29/2017 00:00:00",57,"M","Other",201704
201704,29,0,35246,683249,"D","04/29/2017 00:00:00",51,"M","Permanent Home",201704
201704,29,0,33259,683254,"D","04/29/2017 00:00:00",39,"M","Vehicle/Towed Trailer",201704
201704,29,0,33260,683254,"D","04/29/2017 00:00:00",49,"F","Vehicle/Towed Trailer",201704
201705,7,0,33435,684570,"D","05/07/2017 00:00:00",37,"F","Outside/Open Areas",201705
201704,14,0,33220,689460,"D","04/14/2017 00:00:00",1,"M","Vehicle/Towed Trailer",201704
201704,2,0,33281,691827,"D","04/02/2017 00:00:00",55,"F","Permanent Home",201704
201704,30,0,33393,692096,"D","04/30/2017 00:00:00",36,"M","Permanent Home",201704
201704,6,0,33298,696080,"D","04/06/2017 00:00:00",66,"F","Permanent Home",201704
201705,14,0,35260,704428,"D","05/14/2017 00:00:00",28,"M","Under Tree",201705
201710,25,0,34570,723747,"I","10/25/2017 00:00:00",31,"M","Under Tree",201710
201711,16,0,35289,743864,"D","11/16/2017 00:00:00",49,"M","Outside/Open Areas",201711
201702,28,0,33028,674614,"D","02/28/2017 00:00:00",31,"M","Outside/Open Areas",201702
201702,28,0,33029,674614,"D","02/28/2017 00:00:00",76,"M","Outside/Open Areas",201702
201707,24,0,33748,717501,"D","07/24/2017 00:00:00",76,"M","Permanent Home",201707
201707,30,0,33785,717739,"D","07/30/2017 00:00:00",19,"M","In Water",201707
201708,3,0,33798,718756,"D","08/03/2017 00:00:00",19,"M","In Water",201708
201708,29,0,34505,723646,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34506,723647,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,28,0,34511,723648,"D","08/28/2017 00:00:00",69,"M","In Water",201708
201708,27,0,34510,723648,"D","08/27/2017 00:00:00",1,"F","Vehicle/Towed Trailer",201708
201708,27,0,34512,723648,"D","08/27/2017 00:00:00",64,"M","Vehicle/Towed Trailer",201708
201708,29,0,34523,723649,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34517,723650,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34518,723651,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34519,723652,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34525,723653,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34521,723654,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34522,723655,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34524,723656,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34526,723657,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34529,723658,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201708,29,0,34531,723659,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201701,14,0,31843,666732,"I","01/14/2017 00:00:00",35,"M","Vehicle/Towed Trailer",201701
201701,14,0,31844,666733,"I","01/14/2017 00:00:00",22,"M","Vehicle/Towed Trailer",201701
201701,18,0,31846,666763,"I","01/18/2017 00:00:00",51,"M","Vehicle/Towed Trailer",201701
201706,23,0,34614,707674,"D","06/23/2017 00:00:00",71,"M","In Water",201706
201706,23,0,34615,707702,"D","06/23/2017 00:00:00",54,"M","Vehicle/Towed Trailer",201706
201708,9,0,34617,707833,"I","08/09/2017 00:00:00",,"M","Other",201708
201708,11,0,33548,707907,"I","08/11/2017 00:00:00",,"M","Outside/Open Areas",201708
201708,25,0,33949,718519,"I","08/25/2017 00:00:00",39,"M","Mobile/Trailer Home",201708
201708,29,0,33950,718519,"I","08/29/2017 00:00:00",67,"F","Permanent Home",201708
201709,5,0,34564,720927,"I","09/05/2017 00:00:00",23,"M","Outside/Open Areas",201708
201709,11,0,33953,721443,"D","09/11/2017 00:00:00",55,"M","Permanent Home",201709
201709,11,0,34573,721447,"D","09/11/2017 00:00:00",67,"F","Vehicle/Towed Trailer",201709
201709,16,0,34536,721735,"D","09/16/2017 00:00:00",74,"M","Outside/Open Areas",201709
201709,10,0,34063,721739,"I","09/10/2017 00:00:00",55,"M","Outside/Open Areas",201709
201709,12,0,34064,721739,"I","09/12/2017 00:00:00",56,"M","Outside/Open Areas",201709
201709,26,0,34066,721739,"I","09/26/2017 00:00:00",23,"M","Outside/Open Areas",201709
201709,15,0,34065,721739,"I","09/15/2017 00:00:00",62,"M","Permanent Home",201709
201709,12,0,34067,721815,"D","09/12/2017 00:00:00",89,"M","Unknown",201709
201709,13,0,34628,721819,"I","09/13/2017 00:00:00",63,"M","Outside/Open Areas",201709
201709,13,0,34627,721819,"I","09/13/2017 00:00:00",7,"F","Permanent Home",201709
201709,17,0,34629,721819,"I","09/17/2017 00:00:00",77,"M","Permanent Structure",201709
201709,11,0,34071,721998,"I","09/11/2017 00:00:00",55,"M","Outside/Open Areas",201709
201709,14,0,34072,721998,"I","09/14/2017 00:00:00",60,"M","Outside/Open Areas",201709
201709,14,0,34073,721998,"I","09/14/2017 00:00:00",61,"M","Outside/Open Areas",201709
201709,16,0,34534,722000,"I","09/16/2017 00:00:00",53,"M","Outside/Open Areas",201709
201710,14,0,34535,722000,"I","10/14/2017 00:00:00",38,"M","Outside/Open Areas",201709
201709,8,0,34630,722003,"I","09/08/2017 00:00:00",69,"M","Vehicle/Towed Trailer",201709
201708,27,0,34556,723449,"D","08/27/2017 00:00:00",54,"M","In Water",201708
201708,27,0,34557,723449,"D","08/27/2017 00:00:00",59,"M","In Water",201708
201708,27,0,34558,723449,"D","08/27/2017 00:00:00",83,"M","In Water",201708
201708,27,0,34559,723449,"I","08/27/2017 00:00:00",69,"F","Permanent Home",201708
201709,3,0,34560,723449,"I","09/03/2017 00:00:00",64,"M","Permanent Home",201708
201708,29,0,34561,723449,"I","08/29/2017 00:00:00",80,"F","Permanent Home",201708
201708,28,0,34497,723472,"D","08/28/2017 00:00:00",61,"M","In Water",201708
201708,26,0,34499,723472,"I","08/26/2017 00:00:00",23,"M","Outside/Open Areas",201708
201708,28,0,34496,723472,"D","08/28/2017 00:00:00",60,"F","Permanent Structure",201708
201708,28,0,34498,723472,"D","08/28/2017 00:00:00",33,"M","Vehicle/Towed Trailer",201708
201708,27,0,34489,723473,"D","08/27/2017 00:00:00",63,"M","In Water",201708
201708,30,0,34487,723473,"D","08/30/2017 00:00:00",65,"M","Vehicle/Towed Trailer",201708
201708,30,0,34488,723473,"D","08/30/2017 00:00:00",58,"F","Vehicle/Towed Trailer",201708
201708,28,0,34508,723474,"D","08/28/2017 00:00:00",69,"M","In Water",201708
201708,27,0,34507,723474,"D","08/27/2017 00:00:00",1,"F","Vehicle/Towed Trailer",201708
201708,27,0,34509,723474,"D","08/27/2017 00:00:00",64,"M","Vehicle/Towed Trailer",201708
201708,29,0,34532,723475,"D","08/29/2017 00:00:00",83,"F","Vehicle/Towed Trailer",201708
201709,11,0,34563,724677,"D","09/11/2017 00:00:00",1,"M","Vehicle/Towed Trailer",201709
201710,19,0,33808,719102,"D","10/19/2017 00:00:00",57,"F","In Water",201710
201710,15,0,33913,720244,"D","10/15/2017 00:00:00",65,"M","In Water",201710
201710,24,0,33943,721353,"D","10/24/2017 00:00:00",53,"M","In Water",201710
201710,24,0,33944,721353,"D","10/24/2017 00:00:00",37,"F","In Water",201710
201710,15,0,33954,721660,"D","10/15/2017 00:00:00",14,"M","In Water",201710
201710,9,0,34039,721830,"I","10/09/2017 00:00:00",62,"F","Outside/Open Areas",201710
201710,9,0,34537,724136,"D","10/09/2017 00:00:00",22,"M","In Water",201710
201710,9,0,34538,724136,"D","10/09/2017 00:00:00",47,"M","In Water",201710
201710,8,0,34539,724178,"D","10/08/2017 00:00:00",,"","Unknown",201710
201710,8,0,34540,724178,"D","10/08/2017 00:00:00",,"","Unknown",201710
201710,8,0,34541,724178,"D","10/08/2017 00:00:00",,"","Unknown",201710
201710,8,0,34542,724178,"D","10/08/2017 00:00:00",,"","Unknown",201710
201710,8,0,34543,724178,"D","10/08/2017 00:00:00",,"","Unknown",201710
201710,8,0,34544,724178,"D","10/08/2017 00:00:00",,"","Unknown",201710
201710,8,0,34545,724178,"D","10/08/2017 00:00:00",,"","Unknown",201710
201710,8,0,34546,724178,"D","10/08/2017 00:00:00",,"","Unknown",201710
201710,7,0,34547,724207,"D","10/07/2017 00:00:00",52,"F","In Water",201710
201710,7,0,34548,724208,"D","10/07/2017 00:00:00",60,"M","In Water",201710
201710,7,0,34549,724208,"D","10/07/2017 00:00:00",53,"M","In Water",201710
201710,27,0,34569,725194,"I","10/27/2017 00:00:00",44,"M","In Water",201710
201710,6,0,34603,725309,"D","10/06/2017 00:00:00",53,"M","In Water",201710
201710,8,0,34599,725589,"I","10/08/2017 00:00:00",77,"F","Unknown",201710
201710,8,0,34600,725589,"I","10/08/2017 00:00:00",76,"M","Unknown",201710
201710,8,0,34601,725589,"I","10/08/2017 00:00:00",78,"M","Unknown",201710
201710,8,0,34602,725589,"I","10/08/2017 00:00:00",53,"F","Unknown",201710
201706,11,0,33593,709697,"I","06/11/2017 00:00:00",46,"M","Outside/Open Areas",201706
201704,30,0,33684,714272,"D","04/30/2017 00:00:00",77,"M","In Water",201704
201704,4,0,33178,682675,"D","04/04/2017 00:00:00",49,"M","In Water",201704
201708,7,0,33540,707197,"D","08/07/2017 00:00:00",67,"M","In Water",201708
201708,7,0,33541,707197,"D","08/07/2017 00:00:00",46,"M","In Water",201708
201708,4,0,33805,718556,"D","08/04/2017 00:00:00",28,"F","Vehicle/Towed Trailer",201708
201708,27,0,34753,720852,"D","08/27/2017 00:00:00",63,"M","In Water",201708
201708,30,0,34751,720852,"D","08/30/2017 00:00:00",65,"M","Vehicle/Towed Trailer",201708
201708,30,0,34752,720852,"D","08/30/2017 00:00:00",58,"F","Vehicle/Towed Trailer",201708
201708,29,0,34885,720861,"D","08/29/2017 00:00:00",33,"M","Boating",201708
201708,29,0,34886,720861,"D","08/29/2017 00:00:00",45,"M","Boating",201708
201708,31,0,34887,720861,"D","08/31/2017 00:00:00",40,"M","Boating",201708
201708,31,0,34888,720861,"D","08/31/2017 00:00:00",33,"M","Boating",201708
201708,30,0,34904,720861,"D","08/30/2017 00:00:00",25,"M","Boating",201708
201708,30,0,34905,720861,"D","08/30/2017 00:00:00",31,"M","Boating",201708
201708,29,0,34881,720861,"D","08/29/2017 00:00:00",65,"M","In Water",201708
201708,29,0,34882,720861,"D","08/29/2017 00:00:00",42,"M","In Water",201708
201708,29,0,34883,720861,"D","08/29/2017 00:00:00",54,"M","In Water",201708
201708,27,0,34895,720861,"D","08/27/2017 00:00:00",62,"M","In Water",201708
201708,31,0,34896,720861,"D","08/31/2017 00:00:00",24,"M","In Water",201708
201708,28,0,34897,720861,"D","08/28/2017 00:00:00",73,"F","In Water",201708
201708,29,0,34898,720861,"D","08/29/2017 00:00:00",58,"M","In Water",201708
201708,28,0,34899,720861,"D","08/28/2017 00:00:00",67,"M","In Water",201708
201708,30,0,34900,720861,"D","08/30/2017 00:00:00",49,"M","In Water",201708
201708,29,0,34901,720861,"D","08/29/2017 00:00:00",66,"M","In Water",201708
201708,29,0,34903,720861,"D","08/29/2017 00:00:00",29,"F","In Water",201708
201708,31,0,34909,720861,"D","08/31/2017 00:00:00",58,"M","In Water",201708
201708,27,0,34879,720861,"D","08/27/2017 00:00:00",89,"F","Permanent Home",201708
201709,15,0,34910,720861,"D","09/15/2017 00:00:00",77,"F","Permanent Home",201708
201709,7,0,34911,720861,"D","09/07/2017 00:00:00",71,"F","Permanent Home",201708
201708,27,0,34876,720861,"D","08/27/2017 00:00:00",64,"M","Permanent Structure",201708
201708,27,0,34907,720861,"D","08/27/2017 00:00:00",48,"F","Permanent Structure",201708
201709,3,0,34908,720861,"D","09/03/2017 00:00:00",71,"M","Permanent Structure",201708
201708,26,0,34877,720861,"D","08/26/2017 00:00:00",76,"F","Vehicle/Towed Trailer",201708
201708,28,0,34878,720861,"D","08/28/2017 00:00:00",45,"M","Vehicle/Towed Trailer",201708
201708,27,0,34880,720861,"D","08/27/2017 00:00:00",60,"M","Vehicle/Towed Trailer",201708
201708,30,0,34889,720861,"D","08/30/2017 00:00:00",81,"F","Vehicle/Towed Trailer",201708
201708,30,0,34890,720861,"D","08/30/2017 00:00:00",84,"M","Vehicle/Towed Trailer",201708
201708,30,0,34891,720861,"D","08/30/2017 00:00:00",8,"M","Vehicle/Towed Trailer",201708
201708,30,0,34892,720861,"D","08/30/2017 00:00:00",14,"M","Vehicle/Towed Trailer",201708
201708,30,0,34893,720861,"D","08/30/2017 00:00:00",6,"F","Vehicle/Towed Trailer",201708
201708,30,0,34894,720861,"D","08/30/2017 00:00:00",16,"F","Vehicle/Towed Trailer",201708
201708,30,0,34902,720861,"D","08/30/2017 00:00:00",32,"F","Vehicle/Towed Trailer",201708
201708,27,0,34906,720861,"D","08/27/2017 00:00:00",43,"M","Vehicle/Towed Trailer",201708
201708,29,0,34912,720861,"I","08/29/2017 00:00:00",82,"M","Vehicle/Towed Trailer",201708
201708,29,0,34913,720861,"I","08/29/2017 00:00:00",38,"F","Vehicle/Towed Trailer",201708
201708,27,0,34832,720871,"D","08/27/2017 00:00:00",54,"M","In Water",201708
201708,27,0,34833,720871,"D","08/27/2017 00:00:00",59,"M","In Water",201708
201708,27,0,34834,720871,"D","08/27/2017 00:00:00",83,"M","In Water",201708
